Common Fish Name,CB's Recommended Fish Food,Temperament,Coral Safety,Grows To,Starting Tank Size,Lifespan,Sand Substrate Required,Feeding Difficulty,Feeding Times per Day,Typical Color,Community Suitability,Temperature Range,Salinity Range,Water PH,Water Alkalinity Recommendation,Water Flow Preference,Origin,Scientific Name,QR,SKU
Butterfly Lemon,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,6 Inches,55 Gallon,5-8 Years,No,Moderate,2-3,Bright yellow body,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Central Pacific,Chaetodon miliaris (Lemon/Milletseed) or C. selene,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Lemon.html,BU04
Butterfly Longnose,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,7 Inches,55 Gallon,5-8 Years,No,Moderate,2-3,"Bright yellow body, black mask, long thin snout",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Forcipiger flavissimus,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Longnose.html,BU05
Butterfly Pakistani,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,7 Inches,55 Gallon,5-8 Years,No,Easy,2-3,"Brown body, orange face patch, black tail band",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indian Ocean,Chaetodon collare,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Pakistani.html,BU06
Butterfly Pearlscale,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,6 Inches,55 Gallon,5-8 Years,No,Easy,2-3,"White body with dark net-like scale pattern, orange tail",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Pacific,Chaetodon xanthurus,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Pearlscale.html,BU07
Butterfly Raccoon,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,8 Inches,55 Gallon,5-8 Years,No,Easy,2-3,"Yellow-orange body, black raccoon-like eye mask",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Chaetodon lunula,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Raccoon.html,BU08
Butterfly Raflessi,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,6 Inches,55 Gallon,5-8 Years,No,Moderate,2-3,"Yellow body with diagonal scale striping, dark saddle near tail",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Chaetodon rafflesii,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Raflessi.html,BU09
Butterfly Saddleback,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,8 Inches,55 Gallon,5-8 Years,No,Moderate,2-3,Gray-white body with large black saddle patch near tail,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Chaetodon ephippium,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Saddleback.html,BU10
Butterfly Yellow Longnose,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,7 Inches,55 Gallon,5-8 Years,No,Moderate,2-3,"Bright yellow body, long snout, black mask",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Forcipiger flavissimus,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Yellow Longnose.html,BU11
Butterfly Yellow Pyramid,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,7 Inches,55 Gallon,5-8 Years,No,Moderate,2-3,Yellow body with white pyramid-shaped patch,"Peaceful Community, does well in small groups",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Hemitaurichthys polylepis,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Yellow Pyramid.html,BU12
Butterfly Zoster,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,6 Inches,55 Gallon,5-8 Years,No,Moderate,2-3,White body with black upper back patch,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indian Ocean,Chaetodon zoster (Black-backed Butterflyfish),https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Zoster.html,BU13
Cardinal Banghai,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,No,Easy,2-3,"Silver body with black stripes and white spots, long fin filaments","Peaceful Community, does well in groups",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,"Banggai Islands, Indonesia",Pterapogon kauderni,https://bubba751.github.io/Saltwater-HTML-Files/Cardinal Banghai.html,CD01
Cardinal Pajama,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,No,Easy,2-3,"Yellow head, silver body with dark spots, red eye ring","Peaceful Community, does well in groups",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Western Pacific,Sphaeramia nematoptera,https://bubba751.github.io/Saltwater-HTML-Files/Cardinal Pajama.html,CD02
Chromis,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Reef Safe,3-4 Inches,20 Gallon,5-8 Years,No,Easy,2-3,Iridescent blue-green,"Peaceful Community, does well in shoals of 4+",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Chromis viridis (Blue-Green Chromis) and related spp.,https://bubba751.github.io/Saltwater-HTML-Files/Chromis.html,MS02
Clown Black & White,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Black body with white bars,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (black variant),https://bubba751.github.io/Saltwater-HTML-Files/Clown Black & White.html,CL01
Clown Black Ice,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,"Black body, white snowflake patterning with icy blue tint",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (Black Ice Snowflake),https://bubba751.github.io/Saltwater-HTML-Files/Clown Black Ice.html,CL02
Clown Black Storm,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,"Mostly white body with minimal orange, frosty patterning",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris,https://bubba751.github.io/Saltwater-HTML-Files/Clown Black Storm.html,CL18
Clown DaVinci,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,"White body with black and orange patchwork, minimal orange",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion percula/ocellaris (DaVinci morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown DaVinci.html,CL03
Clown Domino,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,Black body with 3 white spots,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),"Dascyllus trimaculatus (Domino Damsel, not a true clownfish)",https://bubba751.github.io/Saltwater-HTML-Files/Clown Domino.html,CL04
Clown False Percula (Ocellaris),"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,"Bright orange with 3 white bars, black outlining",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris,https://bubba751.github.io/Saltwater-HTML-Files/Clown False Percula (Ocellaris).html,CL05
Clown Fancy White Extreme,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,"Mostly white body with minimal orange, frosty patterning",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris,https://bubba751.github.io/Saltwater-HTML-Files/Clown Fancy White Extreme.html,852496K
Clown Frosbite,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,"Mostly white body with minimal orange, frosty patterning",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (Frostbite morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Frosbite.html,CL06
Clown Frozen,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,"Mostly white body with minimal orange, frosty patterning",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris,https://bubba751.github.io/Saltwater-HTML-Files/Clown Frozen.html,Y245076
Clown Lightning Mochavinci Pair,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,"Mostly white body with minimal orange, frosty patterning",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris,https://bubba751.github.io/Saltwater-HTML-Files/Clown Lightning Mochavinci Pair.html,B728329
Clown Long Fin,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,"Orange with white bars, elongated fins",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (longfin morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Long Fin.html,CL07
Clown Maroon,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,"Deep maroon/red body with white bars, cheek spine",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Premnas biaculeatus,https://bubba751.github.io/Saltwater-HTML-Files/Clown Maroon.html,CL08
Clown Maroon Gold Lightning,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,Maroon body with metallic gold lightning-bolt striping,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Premnas biaculeatus (Gold/Lightning Maroon morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Maroon Gold Lightning.html,CL09
Clown Maroon Lightning,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,Dark maroon body with white lightning-bolt patterning,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Premnas biaculeatus (Lightning Maroon morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Maroon Lightning.html,CL10
Clown Mated Pairs,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Varies by species/morph,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion spp. (bonded pair),https://bubba751.github.io/Saltwater-HTML-Files/Clown Mated Pairs.html,CL25
Clown Mocha,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Dark brown/mocha body with reduced white barring,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (Mocha morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Mocha.html,CL11
Clown Mochaccino,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Brown-orange blended body with faded white bars,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (Mochaccino morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Mochaccino.html,CL12
Clown Naked Ocellaris,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Solid orange body with no white bars,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (Naked/no-stripe morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Naked Ocellaris.html,CL13
Clown Percula,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,20 Years,No,Easy,2-3,"Mostly white body with minimal orange, frosty patterning",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris,https://bubba751.github.io/Saltwater-HTML-Files/Clown Percula.html,1177844
Clown Phantom,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Pale ghost-like body with faint barring,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (Phantom morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Phantom.html,CL14
Clown Picasso,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Orange with irregular abstract white patterning,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion percula/ocellaris (Picasso morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Picasso.html,CL15
Clown Platinum,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Nearly all-white body with minimal black outlining,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (Platinum morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Platinum.html,CL16
Clown Snowflake,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,White body with scattered snowflake-like patterning over orange base,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (Snowflake morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Snowflake.html,CL17
Clown Storm - Black,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Black base with storm-cloud white patterning,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),"Amphiprion ocellaris (Storm morph, black)",https://bubba751.github.io/Saltwater-HTML-Files/Clown Storm - Black.html,CL18
Clown Storm - Mocha,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Brown base with storm-cloud white patterning,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),"Amphiprion ocellaris (Storm morph, mocha)",https://bubba751.github.io/Saltwater-HTML-Files/Clown Storm - Mocha.html,CL19
Clown Storm - Orange,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Orange base with storm-cloud white patterning,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),"Amphiprion ocellaris (Storm morph, orange)",https://bubba751.github.io/Saltwater-HTML-Files/Clown Storm - Orange.html,CL20
Clown Storm - Snow,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Mostly white base with faint storm patterning,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),"Amphiprion ocellaris (Storm morph, snow)",https://bubba751.github.io/Saltwater-HTML-Files/Clown Storm - Snow.html,CL21
Clown Storm - White,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,White base with subtle gray storm patterning,Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),"Amphiprion ocellaris (Storm morph, white)",https://bubba751.github.io/Saltwater-HTML-Files/Clown Storm - White.html,CL22
Clown Tomato,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,Deep red-orange body with single white head bar (adult),Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion frenatus,https://bubba751.github.io/Saltwater-HTML-Files/Clown Tomato.html,CL23
Clown Wyoming White,"Beta Brine, Artci Pods, ROE",Semi-Aggressive,Reef Safe,3-4 Inches,20 Gallon,10-20 Years,No,Easy,2-3,"White body with black outlining, minimal to no orange",Peaceful Community; pairs can be territorial around their host anemone/coral,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Captive-Bred (Indo-Pacific origin species),Amphiprion ocellaris (Wyoming White morph),https://bubba751.github.io/Saltwater-HTML-Files/Clown Wyoming White.html,CL24
Dottyback Bicolor,"Beta Brine, Artci Pods, ROE",Aggressive,Reef Safe,3 Inches,20 Gallon,4-6 Years,No,Easy,2-3,"Purple/blue front half, bright yellow rear half",Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Western Pacific,Pictichromis paccagnellae / Pseudochromis paccagnellae,https://bubba751.github.io/Saltwater-HTML-Files/Dottyback Bicolor.html,DO01
Dottyback Neon,"Beta Brine, Artci Pods, ROE",Peaceful,Reef Safe,2 Inches,20 Gallon,4-6 Years,No,Easy,2-3,Bright orange with electric blue neon striping,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indian Ocean,Pseudochromis aldabraensis or similar 'neon' dottyback,https://bubba751.github.io/Saltwater-HTML-Files/Dottyback Neon.html,DO02
Dottyback Purple Fridmani,"Beta Brine, Artci Pods, ROE",Peaceful,Reef Safe,2.5 Inches,20 Gallon,4-6 Years,No,Easy,2-3,Solid vivid purple,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Red Sea,Pictichromis fridmani,https://bubba751.github.io/Saltwater-HTML-Files/Dottyback Purple Fridmani.html,DO03
Eel Snowflake,"Clams, Krill, Squid, Silverside",Aggressive,Not Reef Safe,24 Inches,29 Gallon,10-15 Years,No,Easy,2-3 times per week,White body with black and yellow blotching,Predatory Fish-Only Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Echidna nebulosa,https://bubba751.github.io/Saltwater-HTML-Files/Eel Snowflake.html,EL15
Eel Zebra (Extra Large),"Clams, Krill, Squid, Silverside",Peaceful,Reef Caution,30 Inches,55 Gallon,10-15 Years,No,Easy,2-3 times per week,Dark brown/black body with narrow white/yellow bands,Predatory Fish-Only Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Gymnomuraena zebra,https://bubba751.github.io/Saltwater-HTML-Files/Eel Zebra (Extra Large).html,EL16
Eel Zebra (Large),"Clams, Krill, Squid, Silverside",Peaceful,Reef Caution,30 Inches,55 Gallon,10-15 Years,No,Easy,2-3 times per week,Dark brown/black body with narrow white/yellow bands,Predatory Fish-Only Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Gymnomuraena zebra,https://bubba751.github.io/Saltwater-HTML-Files/Eel Zebra (Large).html,EL12
Eel Zebra (Medium),"Clams, Krill, Squid, Silverside",Peaceful,Reef Caution,30 Inches,55 Gallon,10-15 Years,No,Easy,2-3 times per week,Dark brown/black body with narrow white/yellow bands,Predatory Fish-Only Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Gymnomuraena zebra,https://bubba751.github.io/Saltwater-HTML-Files/Eel Zebra (Medium).html,1607731
Eel Zebra (Small),"Clams, Krill, Squid, Silverside",Peaceful,Reef Caution,30 Inches,55 Gallon,10-15 Years,No,Easy,2-3 times per week,Dark brown/black body with narrow white/yellow bands,Predatory Fish-Only Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Gymnomuraena zebra,https://bubba751.github.io/Saltwater-HTML-Files/Eel Zebra (Small).html,EL11
Filefish,"Mysis, nori, may eat aiptasia/some corals",Peaceful,Reef Caution,4-8 Inches,20 Gallon,4-8 Years,No,Moderate,2-3,"Varies by species, often green/mottled camouflage",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,"Various Monacanthidae (e.g., Oxymonacanthus longirostris, Acreichthys tomentosus)",https://bubba751.github.io/Saltwater-HTML-Files/Filefish.html,MS03
Goby Blue Spot Watchman,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,Tan/gray body with blue spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Cryptocentrus pavoninoides / Valenciennea sp.,https://bubba751.github.io/Saltwater-HTML-Files/Goby Blue Spot Watchman.html,GB01
Goby Blue Spotted Jawfish,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,Pale body with blue spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Valenciennea sexguttata / similar,https://bubba751.github.io/Saltwater-HTML-Files/Goby Blue Spotted Jawfish.html,GB02
Goby Diamond,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,White/tan body with diamond-shaped spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Valenciennea puellaris,https://bubba751.github.io/Saltwater-HTML-Files/Goby Diamond.html,GB03
Goby Diamond (Small),"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful but can be aggressive with its own kind.,Reef Safe,3 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,A pearlescent white body adorned with striking orange diamond shapes and brilliant blue spots near their head,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Valenciennea puellaris,https://bubba751.github.io/Saltwater-HTML-Files/Goby Diamond (Small).html,7406704
Goby Dragon,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,"Elongated body, mottled brown/tan camouflage pattern",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Gobiodon citrinus or Amblygobius/Dragon-type goby,https://bubba751.github.io/Saltwater-HTML-Files/Goby Dragon.html,GB04
Goby Firefish Purple,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,3-4 Years,No,Easy,2-3,"Purple-blue body with yellow highlights, elongated dorsal spine",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Nemateleotris decora (Purple Firefish),https://bubba751.github.io/Saltwater-HTML-Files/Goby Firefish Purple.html,GB05
Goby Firefish Red,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,3-4 Years,No,Easy,2-3,"White-yellow front, red-orange rear body, elongated dorsal spine","Peaceful Community, does well in pairs",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Nemateleotris magnifica (Fire Goby),https://bubba751.github.io/Saltwater-HTML-Files/Goby Firefish Red.html,GB06
Goby Golden Head Sleeper,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,3-4 Years,No,Easy,2-3,Off-white to light gray body contrasted by a bright yellow-gold head and an electric blue stripe running just below its eyes.,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Valenciennea strigata,https://github.com/Bubba751/Saltwater-HTML-Files/blob/main/Goby%20Golden%20Head%20Sleeper.html,896769J
